model_b,metric,layer,example_id,baseline_score,intervention_score,paired_damage
0.6,tool_selection,0,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,0,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,0,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,0,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,0,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,1,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,1,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,1,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,1,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,1,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,2,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,2,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,2,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,2,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,2,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,3,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,3,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,3,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,3,simple_python_143,1.0,1.0,0.0
0.6,tool_selection,3,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_207,1.0,1.0,0.0
0.6,tool_selection,3,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_288,1.0,1.0,0.0
0.6,tool_selection,3,simple_python_366,1.0,1.0,0.0
0.6,tool_selection,3,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,3,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,4,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,4,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,4,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,4,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_15,1.0,1.0,0.0
0.6,tool_selection,4,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,4,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,5,simple_python_102,0.0,1.0,-1.0
0.6,tool_selection,5,simple_python_112,0.0,1.0,-1.0
0.6,tool_selection,5,simple_python_129,0.0,1.0,-1.0
0.6,tool_selection,5,simple_python_143,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_15,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_158,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_207,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_228,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_239,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_366,1.0,1.0,0.0
0.6,tool_selection,5,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,5,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,6,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,6,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,6,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,6,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,6,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,7,simple_python_102,0.0,1.0,-1.0
0.6,tool_selection,7,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,7,simple_python_129,0.0,1.0,-1.0
0.6,tool_selection,7,simple_python_143,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_15,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_158,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_170,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_207,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_228,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_237,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_239,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_275,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_288,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_366,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_398,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_44,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_77,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_86,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_97,1.0,1.0,0.0
0.6,tool_selection,7,simple_python_98,0.0,1.0,-1.0
0.6,tool_selection,8,simple_python_102,0.0,1.0,-1.0
0.6,tool_selection,8,simple_python_112,0.0,1.0,-1.0
0.6,tool_selection,8,simple_python_129,0.0,1.0,-1.0
0.6,tool_selection,8,simple_python_143,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_15,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_158,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,8,simple_python_207,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_228,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_237,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,8,simple_python_275,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_288,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_366,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_398,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_44,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_77,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,8,simple_python_97,1.0,1.0,0.0
0.6,tool_selection,8,simple_python_98,0.0,1.0,-1.0
0.6,tool_selection,9,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,9,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,9,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,9,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,9,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,10,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,10,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,10,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,10,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_15,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_158,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_228,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_275,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_366,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_86,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_97,1.0,0.0,1.0
0.6,tool_selection,10,simple_python_98,0.0,0.0,0.0
0.6,tool_selection,11,simple_python_102,0.0,0.0,0.0
0.6,tool_selection,11,simple_python_112,0.0,0.0,0.0
0.6,tool_selection,11,simple_python_129,0.0,0.0,0.0
0.6,tool_selection,11,simple_python_143,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_15,1.0,1.0,0.0
0.6,tool_selection,11,simple_python_158,1.0,1.0,0.0
0.6,tool_selection,11,simple_python_170,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_207,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_228,1.0,1.0,0.0
0.6,tool_selection,11,simple_python_237,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_239,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_275,1.0,1.0,0.0
0.6,tool_selection,11,simple_python_288,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_366,1.0,1.0,0.0
0.6,tool_selection,11,simple_python_398,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_44,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_77,1.0,0.0,1.0
0.6,tool_selection,11,simple_python_86,1.0,1.0,0.0
