model_b,layer,example_id,baseline_perplexity,intervention_perplexity
0.6,0,wikitext:1546,18.32080841064453,1560323.375
0.6,0,wikitext:2859,18.063791275024414,667295.25
0.6,0,wikitext:3007,71.36455535888672,2027005.125
0.6,0,wikitext:4078,21.273313522338867,1488083.25
0.6,0,wikitext:911,28.099674224853516,6977735.5
0.6,1,wikitext:1546,18.32080841064453,29031.048828125
0.6,1,wikitext:2859,18.063791275024414,4084.20849609375
0.6,1,wikitext:3007,71.36455535888672,485679.25
0.6,1,wikitext:4078,21.273313522338867,64956.765625
0.6,1,wikitext:911,28.099674224853516,96670.734375
0.6,2,wikitext:1546,18.32080841064453,529.104248046875
0.6,2,wikitext:2859,18.063791275024414,586.5350341796875
0.6,2,wikitext:3007,71.36455535888672,7675.2783203125
0.6,2,wikitext:4078,21.273313522338867,808.85107421875
0.6,2,wikitext:911,28.099674224853516,6175.26318359375
0.6,3,wikitext:1546,18.32080841064453,26.78260612487793
0.6,3,wikitext:2859,18.063791275024414,20.867610931396484
0.6,3,wikitext:3007,71.36455535888672,97.7794189453125
0.6,3,wikitext:4078,21.273313522338867,28.981473922729492
0.6,3,wikitext:911,28.099674224853516,35.54417419433594
0.6,4,wikitext:1546,18.32080841064453,23.838863372802734
0.6,4,wikitext:2859,18.063791275024414,21.094425201416016
0.6,4,wikitext:3007,71.36455535888672,115.41586303710938
0.6,4,wikitext:4078,21.273313522338867,25.835533142089844
0.6,4,wikitext:911,28.099674224853516,46.320106506347656
0.6,5,wikitext:1546,18.32080841064453,26.728914260864258
0.6,5,wikitext:2859,18.063791275024414,20.25788688659668
0.6,5,wikitext:3007,71.36455535888672,98.0308609008789
0.6,5,wikitext:4078,21.273313522338867,22.052064895629883
0.6,5,wikitext:911,28.099674224853516,38.04234313964844
0.6,6,wikitext:1546,18.32080841064453,26.479707717895508
0.6,6,wikitext:2859,18.063791275024414,23.52516746520996
0.6,6,wikitext:3007,71.36455535888672,98.86353302001953
0.6,6,wikitext:4078,21.273313522338867,24.803752899169922
0.6,6,wikitext:911,28.099674224853516,34.53477096557617
0.6,7,wikitext:1546,18.32080841064453,20.958593368530273
0.6,7,wikitext:2859,18.063791275024414,17.12900733947754
0.6,7,wikitext:3007,71.36455535888672,75.76509857177734
0.6,7,wikitext:4078,21.273313522338867,23.27492332458496
0.6,7,wikitext:911,28.099674224853516,32.385528564453125
0.6,8,wikitext:1546,18.32080841064453,19.090988159179688
0.6,8,wikitext:2859,18.063791275024414,19.163888931274414
0.6,8,wikitext:3007,71.36455535888672,78.51676940917969
0.6,8,wikitext:4078,21.273313522338867,20.204416275024414
0.6,8,wikitext:911,28.099674224853516,29.315101623535156
0.6,9,wikitext:1546,18.32080841064453,23.709672927856445
0.6,9,wikitext:2859,18.063791275024414,18.418832778930664
0.6,9,wikitext:3007,71.36455535888672,73.40274810791016
0.6,9,wikitext:4078,21.273313522338867,23.02998924255371
0.6,9,wikitext:911,28.099674224853516,33.70857620239258
0.6,10,wikitext:1546,18.32080841064453,20.58095932006836
0.6,10,wikitext:2859,18.063791275024414,19.2879581451416
0.6,10,wikitext:3007,71.36455535888672,81.24943542480469
0.6,10,wikitext:4078,21.273313522338867,20.254314422607422
0.6,10,wikitext:911,28.099674224853516,30.33565330505371
0.6,11,wikitext:1546,18.32080841064453,24.400920867919922
0.6,11,wikitext:2859,18.063791275024414,21.720457077026367
0.6,11,wikitext:3007,71.36455535888672,87.41542053222656
0.6,11,wikitext:4078,21.273313522338867,26.84449577331543
0.6,11,wikitext:911,28.099674224853516,36.39805603027344
0.6,12,wikitext:1546,18.32080841064453,18.180362701416016
0.6,12,wikitext:2859,18.063791275024414,18.041927337646484
0.6,12,wikitext:3007,71.36455535888672,76.28549194335938
0.6,12,wikitext:4078,21.273313522338867,22.586442947387695
0.6,12,wikitext:911,28.099674224853516,28.995628356933594
0.6,13,wikitext:1546,18.32080841064453,19.63218879699707
0.6,13,wikitext:2859,18.063791275024414,20.735015869140625
0.6,13,wikitext:3007,71.36455535888672,80.82916259765625
0.6,13,wikitext:4078,21.273313522338867,22.123273849487305
0.6,13,wikitext:911,28.099674224853516,29.74778938293457
0.6,14,wikitext:1546,18.32080841064453,18.772737503051758
0.6,14,wikitext:2859,18.063791275024414,17.87277603149414
0.6,14,wikitext:3007,71.36455535888672,72.09186553955078
0.6,14,wikitext:4078,21.273313522338867,21.623807907104492
0.6,14,wikitext:911,28.099674224853516,27.988229751586914
0.6,15,wikitext:1546,18.32080841064453,18.96404266357422
0.6,15,wikitext:2859,18.063791275024414,17.997314453125
0.6,15,wikitext:3007,71.36455535888672,73.47467803955078
0.6,15,wikitext:4078,21.273313522338867,22.417686462402344
0.6,15,wikitext:911,28.099674224853516,27.455121994018555
0.6,16,wikitext:1546,18.32080841064453,23.65224266052246
0.6,16,wikitext:2859,18.063791275024414,23.2767333984375
0.6,16,wikitext:3007,71.36455535888672,86.2114028930664
0.6,16,wikitext:4078,21.273313522338867,28.658063888549805
0.6,16,wikitext:911,28.099674224853516,35.509429931640625
0.6,17,wikitext:1546,18.32080841064453,19.920461654663086
0.6,17,wikitext:2859,18.063791275024414,18.963428497314453
0.6,17,wikitext:3007,71.36455535888672,84.63951110839844
0.6,17,wikitext:4078,21.273313522338867,22.696332931518555
0.6,17,wikitext:911,28.099674224853516,32.607643127441406
0.6,18,wikitext:1546,18.32080841064453,20.88974952697754
0.6,18,wikitext:2859,18.063791275024414,20.532644271850586
0.6,18,wikitext:3007,71.36455535888672,85.22744750976562
0.6,18,wikitext:4078,21.273313522338867,23.292734146118164
0.6,18,wikitext:911,28.099674224853516,30.6964111328125
0.6,19,wikitext:1546,18.32080841064453,25.357267379760742
0.6,19,wikitext:2859,18.063791275024414,20.17934226989746
0.6,19,wikitext:3007,71.36455535888672,86.42184448242188
0.6,19,wikitext:4078,21.273313522338867,28.2125186920166
0.6,19,wikitext:911,28.099674224853516,36.76484298706055
0.6,20,wikitext:1546,18.32080841064453,27.381898880004883
0.6,20,wikitext:2859,18.063791275024414,23.079492568969727
0.6,20,wikitext:3007,71.36455535888672,121.11131286621094
0.6,20,wikitext:4078,21.273313522338867,23.31714630126953
0.6,20,wikitext:911,28.099674224853516,41.54438400268555
0.6,21,wikitext:1546,18.32080841064453,26.888591766357422
0.6,21,wikitext:2859,18.063791275024414,22.265419006347656
0.6,21,wikitext:3007,71.36455535888672,109.62023162841797
0.6,21,wikitext:4078,21.273313522338867,25.256282806396484
0.6,21,wikitext:911,28.099674224853516,37.82371520996094
0.6,22,wikitext:1546,18.32080841064453,29.755172729492188
0.6,22,wikitext:2859,18.063791275024414,21.089162826538086
0.6,22,wikitext:3007,71.36455535888672,112.38682556152344
0.6,22,wikitext:4078,21.273313522338867,24.214380264282227
0.6,22,wikitext:911,28.099674224853516,38.77617263793945
0.6,23,wikitext:1546,18.32080841064453,25.815889358520508
0.6,23,wikitext:2859,18.063791275024414,20.590099334716797
0.6,23,wikitext:3007,71.36455535888672,104.49029541015625
0.6,23,wikitext:4078,21.273313522338867,23.1328067779541
0.6,23,wikitext:911,28.099674224853516,37.58625411987305
0.6,24,wikitext:1546,18.32080841064453,25.48332405090332
0.6,24,wikitext:2859,18.063791275024414,21.39149284362793
0.6,24,wikitext:3007,71.36455535888672,97.14769744873047
0.6,24,wikitext:4078,21.273313522338867,23.841562271118164
0.6,24,wikitext:911,28.099674224853516,32.56270980834961
0.6,25,wikitext:1546,18.32080841064453,23.013357162475586
0.6,25,wikitext:2859,18.063791275024414,19.772905349731445
0.6,25,wikitext:3007,71.36455535888672,92.90386199951172
0.6,25,wikitext:4078,21.273313522338867,23.573257446289062
0.6,25,wikitext:911,28.099674224853516,33.6588134765625
0.6,26,wikitext:1546,18.32080841064453,27.465484619140625
0.6,26,wikitext:2859,18.063791275024414,21.354717254638672
0.6,26,wikitext:3007,71.36455535888672,113.23880004882812
0.6,26,wikitext:4078,21.273313522338867,27.627798080444336
0.6,26,wikitext:911,28.099674224853516,35.663516998291016
0.6,27,wikitext:1546,18.32080841064453,25.338407516479492
0.6,27,wikitext:2859,18.063791275024414,29.525524139404297
0.6,27,wikitext:3007,71.36455535888672,137.11614990234375
0.6,27,wikitext:4078,21.273313522338867,34.54846954345703
0.6,27,wikitext:911,28.099674224853516,45.89809799194336
1.7,0,wikitext:1546,12.246731758117676,12211123.0
1.7,0,wikitext:2859,16.6240291595459,147826.046875
1.7,0,wikitext:3007,45.688724517822266,57202176.0
1.7,0,wikitext:4078,14.426567077636719,526461.8125
1.7,0,wikitext:911,23.976055145263672,53508296.0
1.7,1,wikitext:1546,12.246731758117676,36.605125427246094
1.7,1,wikitext:2859,16.6240291595459,27.234254837036133
1.7,1,wikitext:3007,45.688724517822266,230.23109436035156
1.7,1,wikitext:4078,14.426567077636719,129.90118408203125
1.7,1,wikitext:911,23.976055145263672,1430.3802490234375
1.7,2,wikitext:1546,12.246731758117676,536.03515625
1.7,2,wikitext:2859,16.6240291595459,1232.9273681640625
1.7,2,wikitext:3007,45.688724517822266,66533.453125
1.7,2,wikitext:4078,14.426567077636719,1593.414306640625
1.7,2,wikitext:911,23.976055145263672,8190.53564453125
1.7,3,wikitext:1546,12.246731758117676,20.395977020263672
1.7,3,wikitext:2859,16.6240291595459,18.581506729125977
1.7,3,wikitext:3007,45.688724517822266,62.31651306152344
1.7,3,wikitext:4078,14.426567077636719,17.351558685302734
1.7,3,wikitext:911,23.976055145263672,28.749755859375
1.7,4,wikitext:1546,12.246731758117676,19.34917640686035
1.7,4,wikitext:2859,16.6240291595459,18.77313232421875
1.7,4,wikitext:3007,45.688724517822266,64.81465148925781
1.7,4,wikitext:4078,14.426567077636719,21.884950637817383
1.7,4,wikitext:911,23.976055145263672,42.544132232666016
1.7,5,wikitext:1546,12.246731758117676,14.85129451751709
1.7,5,wikitext:2859,16.6240291595459,16.241601943969727
1.7,5,wikitext:3007,45.688724517822266,79.34156799316406
1.7,5,wikitext:4078,14.426567077636719,20.70615577697754
1.7,5,wikitext:911,23.976055145263672,29.46616554260254
1.7,6,wikitext:1546,12.246731758117676,15.955100059509277
1.7,6,wikitext:2859,16.6240291595459,17.948915481567383
1.7,6,wikitext:3007,45.688724517822266,54.631900787353516
1.7,6,wikitext:4078,14.426567077636719,18.6278076171875
1.7,6,wikitext:911,23.976055145263672,25.258716583251953
1.7,7,wikitext:1546,12.246731758117676,15.425301551818848
1.7,7,wikitext:2859,16.6240291595459,16.99571990966797
1.7,7,wikitext:3007,45.688724517822266,50.582889556884766
1.7,7,wikitext:4078,14.426567077636719,15.322297096252441
1.7,7,wikitext:911,23.976055145263672,22.762371063232422
1.7,8,wikitext:1546,12.246731758117676,14.929823875427246
1.7,8,wikitext:2859,16.6240291595459,17.971755981445312
1.7,8,wikitext:3007,45.688724517822266,47.899078369140625
1.7,8,wikitext:4078,14.426567077636719,16.537931442260742
1.7,8,wikitext:911,23.976055145263672,22.844820022583008
1.7,9,wikitext:1546,12.246731758117676,14.415245056152344
1.7,9,wikitext:2859,16.6240291595459,19.141748428344727
1.7,9,wikitext:3007,45.688724517822266,63.87344741821289
1.7,9,wikitext:4078,14.426567077636719,14.22493839263916
1.7,9,wikitext:911,23.976055145263672,25.174840927124023
1.7,10,wikitext:1546,12.246731758117676,13.03531265258789
1.7,10,wikitext:2859,16.6240291595459,15.360128402709961
1.7,10,wikitext:3007,45.688724517822266,52.58185577392578
1.7,10,wikitext:4078,14.426567077636719,14.739592552185059
1.7,10,wikitext:911,23.976055145263672,21.801843643188477
1.7,11,wikitext:1546,12.246731758117676,14.789511680603027
1.7,11,wikitext:2859,16.6240291595459,18.202070236206055
1.7,11,wikitext:3007,45.688724517822266,65.37385559082031
1.7,11,wikitext:4078,14.426567077636719,19.83184051513672
1.7,11,wikitext:911,23.976055145263672,28.38042449951172
1.7,12,wikitext:1546,12.246731758117676,12.069499969482422
1.7,12,wikitext:2859,16.6240291595459,15.66115665435791
1.7,12,wikitext:3007,45.688724517822266,46.81309127807617
1.7,12,wikitext:4078,14.426567077636719,14.428009033203125
1.7,12,wikitext:911,23.976055145263672,22.852216720581055
1.7,13,wikitext:1546,12.246731758117676,12.654945373535156
1.7,13,wikitext:2859,16.6240291595459,17.353933334350586
1.7,13,wikitext:3007,45.688724517822266,41.405738830566406
1.7,13,wikitext:4078,14.426567077636719,16.479652404785156
1.7,13,wikitext:911,23.976055145263672,24.35531234741211
1.7,14,wikitext:1546,12.246731758117676,12.108194351196289
1.7,14,wikitext:2859,16.6240291595459,16.147871017456055
1.7,14,wikitext:3007,45.688724517822266,47.108131408691406
1.7,14,wikitext:4078,14.426567077636719,14.214483261108398
1.7,14,wikitext:911,23.976055145263672,20.484169006347656
1.7,15,wikitext:1546,12.246731758117676,11.447284698486328
1.7,15,wikitext:2859,16.6240291595459,15.904560089111328
1.7,15,wikitext:3007,45.688724517822266,43.78708267211914
1.7,15,wikitext:4078,14.426567077636719,15.212384223937988
1.7,15,wikitext:911,23.976055145263672,20.80863380432129
1.7,16,wikitext:1546,12.246731758117676,13.00403881072998
1.7,16,wikitext:2859,16.6240291595459,21.12229347229004
1.7,16,wikitext:3007,45.688724517822266,59.50112533569336
1.7,16,wikitext:4078,14.426567077636719,17.06744384765625
1.7,16,wikitext:911,23.976055145263672,31.984638214111328
1.7,17,wikitext:1546,12.246731758117676,14.140835762023926
1.7,17,wikitext:2859,16.6240291595459,16.58570671081543
1.7,17,wikitext:3007,45.688724517822266,54.22011947631836
1.7,17,wikitext:4078,14.426567077636719,13.849788665771484
1.7,17,wikitext:911,23.976055145263672,24.28421401977539
1.7,18,wikitext:1546,12.246731758117676,12.718749046325684
1.7,18,wikitext:2859,16.6240291595459,16.873783111572266
1.7,18,wikitext:3007,45.688724517822266,57.380008697509766
1.7,18,wikitext:4078,14.426567077636719,15.128056526184082
1.7,18,wikitext:911,23.976055145263672,26.693988800048828
1.7,19,wikitext:1546,12.246731758117676,13.820025444030762
1.7,19,wikitext:2859,16.6240291595459,17.37122344970703
1.7,19,wikitext:3007,45.688724517822266,50.60365676879883
1.7,19,wikitext:4078,14.426567077636719,15.577004432678223
1.7,19,wikitext:911,23.976055145263672,27.154376983642578
1.7,20,wikitext:1546,12.246731758117676,20.63587760925293
1.7,20,wikitext:2859,16.6240291595459,23.86954116821289
1.7,20,wikitext:3007,45.688724517822266,87.88934326171875
1.7,20,wikitext:4078,14.426567077636719,18.87940788269043
1.7,20,wikitext:911,23.976055145263672,38.84122848510742
1.7,21,wikitext:1546,12.246731758117676,16.093250274658203
1.7,21,wikitext:2859,16.6240291595459,18.92959976196289
1.7,21,wikitext:3007,45.688724517822266,62.344722747802734
1.7,21,wikitext:4078,14.426567077636719,16.898433685302734
1.7,21,wikitext:911,23.976055145263672,38.148292541503906
1.7,22,wikitext:1546,12.246731758117676,18.216814041137695
1.7,22,wikitext:2859,16.6240291595459,19.409093856811523
1.7,22,wikitext:3007,45.688724517822266,78.22189331054688
1.7,22,wikitext:4078,14.426567077636719,16.071218490600586
1.7,22,wikitext:911,23.976055145263672,36.332889556884766
1.7,23,wikitext:1546,12.246731758117676,14.42835521697998
1.7,23,wikitext:2859,16.6240291595459,21.429222106933594
1.7,23,wikitext:3007,45.688724517822266,53.792388916015625
1.7,23,wikitext:4078,14.426567077636719,16.508089065551758
1.7,23,wikitext:911,23.976055145263672,29.79947280883789
1.7,24,wikitext:1546,12.246731758117676,20.104568481445312
1.7,24,wikitext:2859,16.6240291595459,19.857540130615234
1.7,24,wikitext:3007,45.688724517822266,69.22991180419922
1.7,24,wikitext:4078,14.426567077636719,16.828556060791016
1.7,24,wikitext:911,23.976055145263672,33.38652038574219
1.7,25,wikitext:1546,12.246731758117676,15.05614185333252
1.7,25,wikitext:2859,16.6240291595459,17.880882263183594
1.7,25,wikitext:3007,45.688724517822266,54.72461700439453
1.7,25,wikitext:4078,14.426567077636719,17.54355812072754
1.7,25,wikitext:911,23.976055145263672,30.688068389892578
1.7,26,wikitext:1546,12.246731758117676,15.054228782653809
1.7,26,wikitext:2859,16.6240291595459,25.32897186279297
1.7,26,wikitext:3007,45.688724517822266,56.54865646362305
1.7,26,wikitext:4078,14.426567077636719,16.703657150268555
1.7,26,wikitext:911,23.976055145263672,38.80568313598633
1.7,27,wikitext:1546,12.246731758117676,13.418171882629395
1.7,27,wikitext:2859,16.6240291595459,25.729433059692383
1.7,27,wikitext:3007,45.688724517822266,57.837799072265625
1.7,27,wikitext:4078,14.426567077636719,15.277935981750488
1.7,27,wikitext:911,23.976055145263672,27.44934844970703
